noise_ratio,edge_type,predictive_uncertainty
0.1,clean,1.5114099979400635
0.1,clean,1.229929804801941
0.1,clean,1.1946477890014648
0.1,clean,1.0929794311523438
0.1,clean,1.0377908945083618
0.1,clean,1.2424894571304321
0.1,clean,0.9651451110839844
0.1,clean,1.061859130859375
0.1,clean,1.7145060300827026
0.1,clean,0.9802533388137817
0.1,clean,0.9890732169151306
0.1,clean,0.9644134044647217
0.1,clean,1.1933951377868652
0.1,clean,0.9776713848114014
0.1,clean,1.3324520587921143
0.1,clean,1.045638084411621
0.1,clean,0.9256895184516907
0.1,clean,1.2236888408660889
0.1,clean,0.960990309715271
0.1,clean,1.0034453868865967
0.1,clean,0.858275294303894
0.1,clean,0.9826375842094421
0.1,clean,0.9326796531677246
0.1,clean,0.9062970876693726
0.1,clean,2.53391432762146
0.1,clean,1.349889874458313
0.1,clean,1.8187239170074463
0.1,clean,0.9942598938941956
0.1,clean,1.1030128002166748
0.1,clean,0.9547535181045532
0.1,clean,1.199371576309204
0.1,clean,1.019822120666504
0.1,clean,1.0433802604675293
0.1,clean,1.0916054248809814
0.1,clean,1.180741786956787
0.1,clean,0.9245279431343079
0.1,clean,0.9022138118743896
0.1,clean,1.8997186422348022
0.1,clean,1.3573311567306519
0.1,clean,0.9934324026107788
0.1,clean,0.9278304576873779
0.1,clean,1.0255504846572876
0.1,clean,0.9430868625640869
0.1,clean,0.9449427127838135
0.1,clean,0.9336764216423035
0.1,clean,1.0232820510864258
0.1,clean,1.2047717571258545
0.1,clean,1.1661285161972046
0.1,clean,1.1334857940673828
0.1,clean,0.9028176665306091
0.1,clean,0.874415397644043
0.1,clean,0.9304303526878357
0.1,clean,1.7434529066085815
0.1,clean,1.341876745223999
0.1,clean,1.0663548707962036
0.1,clean,1.7460691928863525
0.1,clean,0.9907044172286987
0.1,clean,0.8938872814178467
0.1,clean,1.2860431671142578
0.1,clean,0.9988949298858643
0.1,clean,2.042299270629883
0.1,clean,1.0325672626495361
0.1,clean,1.6938650608062744
0.1,clean,1.196932315826416
0.1,clean,0.9609568119049072
0.1,clean,0.9231029748916626
0.1,clean,0.9682002663612366
0.1,clean,1.4604599475860596
0.1,clean,0.9089297652244568
0.1,clean,0.8960779905319214
0.1,clean,1.1436843872070312
0.1,clean,1.0472947359085083
0.1,clean,1.234863042831421
0.1,clean,1.223548412322998
0.1,clean,1.456342101097107
0.1,clean,0.9350601434707642
0.1,clean,1.189723014831543
0.1,clean,1.0755771398544312
0.1,clean,0.9284036159515381
